Timestamp,ID,Komoditas,Satuan,Harga,Harga Kemarin,Tanggal Kemarin,Gap,Gap Persen,Gap Perubahan
9/13/2025,27,Beras Premium,Rp./Kg,16000,15500,12/9/2025,500,3.23,up
9/13/2025,28,Beras Medium,Rp./Kg,13250,13250,12/9/2025,0,0,no_change
9/13/2025,109,Beras SPHP,Rp/kg,12500,12500,12/9/2025,0,0,no_change
9/13/2025,102,Jagung Tk Peternak,Rp/kg,0,0,12/9/2025,0,0,no_change
9/13/2025,29,Kedelai Biji Kering (Impor),Rp./Kg,0,0,12/9/2025,0,0,no_change
9/13/2025,30,Bawang Merah,Rp./Kg,40000,42500,12/9/2025,-2500,-5.88,down
9/13/2025,31,Bawang Putih Bonggol,Rp./Kg,38333,39167,12/9/2025,-834,-2.13,down
9/13/2025,32,Cabai Merah Keriting,Rp./Kg,37333,47000,12/9/2025,-9667,-20.57,down
9/13/2025,126,Cabai Merah Besar,Rp/kg,60000,75833,12/9/2025,-15833,-20.88,down
9/13/2025,34,Daging Sapi Murni,Rp./Kg,140000,140000,12/9/2025,0,0,no_change
9/13/2025,33,Cabai Rawit Merah,Rp./Kg,35000,42500,12/9/2025,-7500,-17.65,down
9/13/2025,35,Daging Ayam Ras,Rp./Kg,38000,37167,12/9/2025,833,2.24,up
9/13/2025,36,Telur Ayam Ras,Rp./Kg,28000,28400,12/9/2025,-400,-1.41,down
9/13/2025,37,Gula Konsumsi,Rp./Kg,18000,17400,12/9/2025,600,3.45,up
9/13/2025,38,Minyak Goreng Kemasan,Rp./Liter,20000,21400,12/9/2025,-1400,-6.54,down
9/13/2025,101,Minyak Goreng Curah,Rp./Liter,21000,20400,12/9/2025,600,2.94,up
9/13/2025,40,Tepung Terigu (Curah),Rp./Kg,10000,9800,12/9/2025,200,2.04,up
9/13/2025,127,Minyakita,Rp/Liter,18000,17700,12/9/2025,300,1.69,up
9/13/2025,108,Tepung Terigu Kemasan,Rp/kg,13500,13200,12/9/2025,300,2.27,up
9/13/2025,104,Ikan Kembung,Rp./Kg,45000,51667,12/9/2025,-6667,-12.9,down
